id,question,intent
1552,Stay curious!,goodbye
1553,Stay learning!,goodbye
1554,See you in the stacks!,goodbye
1555,See you next coffee break!,goodbye
1556,See you at the next meeting!,goodbye
1557,See you on Zoom!,goodbye
1558,See you online!,goodbye
1559,See you in cyberspace!,goodbye
1560,See you on shore!,goodbye
1561,"Nope, cancel that order—I changed my mind like I change my hair color.",cancel_order
1562,That drink? Cancelled. Like my subscription to basic.,cancel_order
1563,Delete my order like I delete toxic DMs.,cancel_order
1564,Abort! That coffee doesn’t match my energy today.,cancel_order
1565,"Scratch that—I’m not feeling it. goodbye, Felicia.",cancel_order
1566,"Nah, reverse it. I’m not caffeinated enough for regrets.",cancel_order
1567,Cancel that drink like a last-minute Tinder date.,cancel_order
1568,That order? Over. Like my patience for slow Wi-Fi.,cancel_order
1569,Ctrl+Z that latte—I’m rewinding my choices.,cancel_order
1570,That mocha? *Blocked.*,cancel_order
1571,Yeet my order into the abyss where it belongs.,cancel_order
1572,Nope. That drink is *not* serving cunt today.,cancel_order
1573,Cancel it. I’m manifesting better coffee elsewhere.,cancel_order
1574,That order? *Excommunicated.*,cancel_order
1575,Erase it like my browser history.,cancel_order
1576,That americano? *Disowned.*,cancel_order
1577,"Nah, I’m good. That drink was mid anyway.",cancel_order
1578,Cancel. I’d rather drink water than that energy.,cancel_order
1579,That latte? *Fired.*,cancel_order
1580,Scratch it. I’m not settling for mediocrity.,cancel_order
1581,Nope. That cappuccino? *Cancelled with prejudice.*,cancel_order
1582,Delete. I’m not wasting my coins on that.,cancel_order
1583,That drink? *Voided.* Like my ex’s apologies.,cancel_order
1584,Cancel. I’m not drinking my feelings today.,cancel_order
1585,That order? *Invalid.* Like my sleep schedule.,cancel_order
1586,"Nah, reverse it. I’m not that desperate.",cancel_order
1587,That mocha? *Terminated.* Like my last brain cell.,cancel_order
1588,Cancel. I’d rather chew ice.,cancel_order
1589,That drink? *Denied.* Like my bank loan.,cancel_order
1590,Nope. That coffee? *Rejected.* Like my fanfic.,cancel_order
1591,Scratch it. I’m not drinking regret today.,cancel_order
1592,That order? *Nullified.* Like my will to live.,cancel_order
1593,Cancel. I’m not paying for bad vibes.,cancel_order
1594,That latte? *Discontinued.* Like my motivation.,cancel_order
1595,"Nah, I’m out. That drink was a flop.",cancel_order
1596,Cancel. I’d rather sip air.,cancel_order
1597,That americano? *Revoked.* Like my gym membership.,cancel_order
1598,Delete. I’m not caffeinating my bad decisions.,cancel_order
1599,That drink? *Obliterated.* Like my self-control.,cancel_order
1600,Cancel. I’m not that girl.,cancel_order
1601,Nope. That order? *Incinerated.*,cancel_order
1602,Scratch it. I’m not drinking that weak energy.,cancel_order
1603,That mocha? *Annihilated.* Like my serotonin.,cancel_order
1604,Cancel. I’d rather drink tears.,cancel_order
1605,That latte? *Eradicated.* Like my hopes and dreams.,cancel_order
1606,"Nah, reverse it. I’m not that bored.",cancel_order
1607,That drink? *Extinguished.* Like my last candle.,cancel_order
1608,Cancel. I’m not funding bad espresso.,cancel_order
1609,That order? *Liquidated.* Like my assets.,cancel_order
1610,Nope. That coffee? *Disintegrated.*,cancel_order
1611,Delete. I’m not drinking trauma today.,cancel_order
1612,That cappuccino? *Neutralized.* Like my emotions.,cancel_order
1613,Cancel. I’d rather lick a battery.,cancel_order
1614,That drink? *Ousted.* Like my last roommate.,cancel_order
1615,"Nah, I’m good. That order was a scam.",cancel_order
1616,Cancel. I’m not that thirsty.,cancel_order
1617,That americano? *Banished.* Like my ex.,cancel_order
1618,Scratch it. I’m not drinking lies.,cancel_order
1619,That mocha? *Exiled.* Like my last nerve.,cancel_order
1620,Cancel. I’d rather drink liquid disappointment.,cancel_order
1621,Nope. That order? *Disposed.* Like my potential.,cancel_order
1622,That latte? *Obliviated.* Like my memory of this convo.,cancel_order
1623,Cancel. I’m not caffeinating chaos today.,cancel_order
1624,That drink? *Erased.* Like my productivity.,cancel_order
1625,"Nah, reverse it. I’m not that committed.",cancel_order
1626,Cancel. I’d rather drink existential dread.,cancel_order
1627,That order? *Vaporized.* Like my bank balance.,cancel_order
1628,Delete. I’m not drinking basic.,cancel_order
1629,That cappuccino? *Obliterated.* Like my patience.,cancel_order
1630,Cancel. I’m not paying for mid.,cancel_order
1631,Nope. That drink? *Decimated.* Like my sleep.,cancel_order
1632,Scratch it. I’m not drinking regret.,cancel_order
1633,That mocha? *Extirpated.* Like my last good idea.,cancel_order
1634,Cancel. I’d rather drink liquid silence.,cancel_order
1635,That order? *Expunged.* Like my dignity.,cancel_order
1636,"Nah, I’m out. That coffee was a mistake.",cancel_order
1637,Cancel. I’m not that caffeinated.,cancel_order
1638,That americano? *Dissolved.* Like my willpower.,cancel_order
1639,Delete. I’m not drinking nonsense today.,cancel_order
1640,That latte? *Disassembled.* Like my life choices.,cancel_order
1641,Cancel. I’d rather drink existential crisis.,cancel_order
1642,Nope. That drink? *Pulverized.*,cancel_order
1643,That order? *Liquefied.* Like my motivation.,cancel_order
1644,Cancel. I’m not funding mediocrity.,cancel_order
1645,Scratch it. I’m not drinking bad decisions.,cancel_order
1646,That mocha? *Demolished.* Like my self-esteem.,cancel_order
1647,Cancel. I’d rather drink liquid chaos.,cancel_order
1648,"Nah, reverse it. I’m not that invested.",cancel_order
1649,That cappuccino? *Shattered.* Like my phone screen.,cancel_order
1650,Cancel. I’m not caffeinating disaster.,cancel_order
1651,Delete. I’m not drinking weak energy.,cancel_order
1652,That order? *Incinerated.* Like my last hope.,cancel_order
1653,Cancel. I’d rather drink liquid regret.,cancel_order
1654,Nope. That drink? *Obliterated.* Like my inbox.,cancel_order
1655,That americano? *Disemboweled.* Like my last text.,cancel_order
1656,Cancel. I’m not paying for mid vibes.,cancel_order
1657,Scratch it. I’m not drinking that energy.,cancel_order
1658,That latte? Like my attention span.,cancel_order
1659,Cancel. I’d rather drink liquid amnesia.,cancel_order
1660,"Nah, I’m good. That order was a fluke.",cancel_order
1661,Delete. I’m not drinking bad juju.,cancel_order
1662,That mocha? *Exterminated.* Like my last brain cell.,cancel_order
1663,Cancel. I’m not caffeinating nonsense.,cancel_order
1664,That drink? *Disintegrated.* Like my social life.,cancel_order
1665,Nope. That order? *Voided.* Like my ex’s promises.,cancel_order
1666,Scratch it. I’m not drinking weak sauce.,cancel_order
1667,That americano? Like my emotions.,cancel_order
1668,That order? *Banished.* Like my last nerve.,cancel_order
1669,Nope. That drink? *Incinerated.*,cancel_order
1670,That mocha? *Obliterated.* Like my self-control.,cancel_order
1671,Nope. That drink? *Disposed.* Like my potential.,cancel_order
1672,Scratch it. I’m not drinking bad juju.,cancel_order
1673,Delete. I’m not drinking weak sauce.,cancel_order
1674,Nope. That drink? *Disintegrated.* Like my social life.,cancel_order
1675,That order? *Voided.* Like my ex’s promises.,cancel_order
1676,"Yo, hit me with that White Mocha - make it dirty.",order
1677,"Slide me a Cappuccino, extra shady.",order
1678,"I need an Americano - stat, no cap.",order
1679,"Fuel my rebellion with a Latte, hold the corporate vibes.",order
1680,Mocha me like you mean it - I'm running on empty.,order
1681,"Black Tea, straight up - no snitchin'.",order
1682,"Chai Tea, extra spicy - just like my temper.",order
1683,Green Mint to calm my demons - heavy on the mint.,order
1684,"Hot Chocolate, make it illegal.",order
1685,Matcha Latte - the kind that makes accountants nervous.,order
1686,"Americano, black as my soul before coffee.",order
1687,Cappuccino - frothy enough to hide my sins.,order
1688,"Latte, make it sweet enough to forget my deadlines.",order
1689,"Mocha, so good it should be against campus policy.",order
1690,White Mocha - the liquid equivalent of bad decisions.,order
1691,"Black Tea, no sweetener - I like my drinks like my humor.",order
1692,"Chai Tea, extra strong - gotta stay woke.",order
1693,"Green Mint, iced - cool me down before I snap.",order
1694,"Hot Chocolate, add a shot of rebellion.",order
1695,"Matcha Latte, extra matcha - I need the green energy.",order
1696,"Americano, double shot - I ain't sleeping tonight.",order
1697,"Cappuccino, dry - like my social skills.",order
1698,"Latte, extra foam - I'm feeling bougie today.",order
1699,"Mocha, keep the whipped cream coming.",order
1700,"White Mocha, extra sweet - just like my lies.",order
1701,"Black Tea, lemon on the side - don't mix my vibes.",order
1702,"Chai Tea, hold the basic - make it street.",order
1703,"Green Mint, no sugar - I'm bitter enough already.",order
1704,"Hot Chocolate, extra marshmallows - I'm regressing today.",order
1705,"Matcha Latte, make it photogenic - the 'gram needs content.",order
1706,"Americano, iced - cool my rage.",order
1707,"Cappuccino, extra cinnamon - sprinkle some chaos on top.",order
1708,"Latte, almond milk - I'm extra like that.",order
1709,"Mocha, dark as my browser history.",order
1710,"White Mocha, extra caramel - sticky fingers incoming.",order
1711,"Black Tea, honey on the side - sweeten my misery.",order
1712,"Chai Tea, soy milk - I'm complicated.",order
1713,"Green Mint, extra ice - chill my temper.",order
1714,"Hot Chocolate, extra hot - just like my takes.",order
1715,"Matcha Latte, oat milk - I'm basic but woke.",order
1716,"Americano, quad shot - I have poor life choices to make.",order
1717,"Cappuccino, extra foam - I'm avoiding reality today.",order
1718,"Latte, vanilla syrup - sweeten the deal.",order
1719,"Mocha, extra chocolate - I'm here for a good time.",order
1720,"White Mocha, extra espresso - I'm here for a long time.",order
1721,"Black Tea, bergamot if you got it - fancy rebellion.",order
1722,"Chai Tea, extra cardamom - spice up my life.",order
1723,"Green Mint, no ice - I'm cold enough inside.",order
1724,"Hot Chocolate, extra whipped cream - bury my sorrows.",order
1725,"Matcha Latte, extra sweet - green is my happy color.",order
1726,"Americano, long black - just like my rap sheet.",order
1727,"Cappuccino, wet - unlike my humor.",order
1728,"Latte, caramel drizzle - sweeten my cynicism.",order
1729,"Mocha, extra dark - like my sense of humor.",order
1730,"White Mocha, extra white - ironic, I know.",order
1731,"Black Tea, extra strong - just like my opinions.",order
1732,"Chai Tea, extra ginger - for my cold, dead heart.",order
1733,"Green Mint, extra green - match my envy.",order
1734,"Hot Chocolate, extra chocolate - I'm in my feels.",order
1735,"Matcha Latte, extra frothy - I'm extra today.",order
1736,"Americano, ristretto - short and bitter, like me.",order
1737,"Cappuccino, extra dry - like my will to live.",order
1738,"Latte, hazelnut syrup - nutty like my professor.",order
1739,"Mocha, extra whipped - I'm indulging today.",order
1740,"White Mocha, extra vanilla - basic bitch energy.",order
1741,"Black Tea, extra lemon - sour like my mood.",order
1742,"Chai Tea, extra spicy - like my comebacks.",order
1743,"Green Mint, extra fresh - cleanse my palate from BS.",order
1744,"Hot Chocolate, extra thick - drown my sorrows.",order
1745,"Matcha Latte, extra aesthetic - for the 'gram.",order
1746,"Americano, iced and bitter - just like my ex.",order
1747,"Cappuccino, extra foam art - make it a dickbutt.",order
1748,"Latte, extra hot - like my temper in group projects.",order
1749,"Mocha, extra chocolate sauce - I'm stress-eating.",order
1750,"White Mocha, extra sweet - compensate for my personality.",order
1751,"Black Tea, extra bergamot - fancy depression.",order
1752,"Chai Tea, extra milky - softboi hours.",order
1753,"Green Mint, extra green - match my envy of people who sleep.",order
1754,"Hot Chocolate, extra whipped - bury my deadlines.",order
1755,"Matcha Latte, extra Instagrammable - fake it till you make it.",order
1756,"Americano, extra water - dilute my poor choices.",order
1757,"Cappuccino, extra cinnamon - spice up this dull day.",order
1758,"Latte, extra caramel - sweeten this bitter pill called life.",order
1759,"Mocha, extra espresso - I chose violence today.",order
1760,"White Mocha, extra vanilla - basic but effective.",order
1761,"Black Tea, extra strong - like my caffeine dependency.",order
1762,"Chai Tea, extra cardamom - exotic like my sleep schedule.",order
1763,"Green Mint, extra fresh - mask my bad breath from all-nighters.",order
1764,"Hot Chocolate, extra marshmallows - childhood regression activated.",order
1765,"Matcha Latte, extra aesthetic - my feed needs content.",order
1766,"Americano, black as my future.",order
1767,"Cappuccino, extra foam - cushion my inevitable breakdown.",order
1768,"Latte, extra sweet - like the lies I tell myself about studying.",order
1769,"Mocha, extra chocolate - because adulting is hard.",order
1770,"White Mocha, extra white - ironic for a goth.",order
1771,"Black Tea, extra lemon - tart like my personality.",order
1772,"Chai Tea, extra spicy - like my memes.",order
1773,"Green Mint, extra green - like my envy of functional people.",order
1774,"Hot Chocolate, extra thick - like my skull from all this knowledge.",order
1775,"Matcha Latte, extra extra - because one extra wasn't enough.",order
1776,"Americano, iced - cool my burning rage at this group project.",order
1777,"Cappuccino, extra dry - like my sense of humor after midterms.",order
1778,"Latte, extra vanilla - sweeten this bitter existence.",order
1779,"Mocha, extra whipped cream - bury my sorrows in dairy.",order
1780,"White Mocha, extra caramel - sticky fingers, no regrets.",order
1781,"Black Tea, extra bergamot - fancy like my avoidance tactics.",order
1782,"Chai Tea, extra ginger - for my non-existent immune system.",order
1783,"Green Mint, extra fresh - cleanse my palate of cafeteria food.",order
1784,"Hot Chocolate, extra chocolate - because I'm an adult (allegedly).",order
1785,"Matcha Latte, extra photogenic - my followers demand content.",order
1786,"Americano, quad shot - I have poor decisions to make.",order
1787,"Cappuccino, extra foam art - surprise me, barista.",order
1788,"Latte, extra hazelnut - nutty like my sleep-deprived brain.",order
1789,"Mocha, extra dark - like my browser history.",order
1790,"White Mocha, extra sweet - like my fake smile in morning classes.",order
1791,"Black Tea, extra lemon - sour like my outlook on finals.",order
1792,"Chai Tea, extra spicy - like my temper during exams.",order
1793,"Green Mint, extra green - match my envy of people who prepared.",order
1794,"Hot Chocolate, extra whipped - bury my academic failures.",order
1795,"Matcha Latte, extra aesthetic - for the aesthetic.",order
1796,"Americano, long black - like my list of regrets.",order
1797,"Cappuccino, extra cinnamon - spice up this dull lecture day.",order
1798,"Latte, extra caramel - sweeten this bitter reality.",order
1799,"Mocha, extra chocolate - because I deserve it (probably).",order
1800,"White Mocha, extra vanilla - basic but reliable.",order
1801,"Black Tea, extra strong - like my caffeine addiction.",order
1802,"Chai Tea, extra milky - soft like my underdeveloped skills.",order
1803,"Green Mint, extra fresh - mask my all-nighter breath.",order
1804,"Hot Chocolate, extra marshmallows - regression feels good.",order
1805,"Matcha Latte, extra frothy - extra like my personality.",order
1806,"Americano, ristretto - short and bitter like my attention span.",order
1807,"Cappuccino, extra dry - like my will to attend this lecture.",order
1808,"Latte, extra hazelnut - nutty like my professor.",order
1809,"Mocha, extra whipped - indulging my inner child.",order
1810,"White Mocha, extra sweet - compensating for my personality.",order
1811,"Black Tea, extra lemon - tart like my comeback game.",order
1812,"Chai Tea, extra spicy - like my hot takes.",order
1813,"Green Mint, extra green - matching my envy of morning people.",order
1814,"Hot Chocolate, extra thick - like my skull from all-nighters.",order
1815,"Matcha Latte, extra aesthetic - do it for the 'gram.",order
1816,"Americano, iced and bitter - like my ex's new partner.",order
1817,"Cappuccino, extra foam art - draw a middle finger.",order
1818,"Latte, extra hot - like my temper during group work.",order
1819,"Mocha, extra chocolate sauce - stress-eating is valid.",order
1820,"White Mocha, extra sweet - like my lies about studying.",order
1821,"Black Tea, extra bergamot - fancy like my procrastination.",order
1822,"Chai Tea, extra milky - soft like my coding skills.",order
1823,"Green Mint, extra fresh - cleanse my palate of instant noodles.",order
1824,"Hot Chocolate, extra whipped - bury my assignment stress.",order
1825,"Matcha Latte, extra Instagrammable - fake productivity.",order
1826,"Americano, extra water - dilute my poor life choices.",order
1827,"Cappuccino, extra cinnamon - spice up this boring Tuesday.",order
1828,"Latte, extra caramel - sweeten this bitter existence.",order
1829,"Green Mint, extra fresh - mask my ramen breath.",order
1830,"Hot Chocolate, extra marshmallows - childhood regression.",order
1831,"Matcha Latte, extra aesthetic - my followers expect content.",order
1832,"Americano, black as my future prospects.",order
1833,"Cappuccino, extra foam - cushion my breakdown.",order
1834,"Latte, extra sweet - like my lies about understanding this material.",order
1835,"White Mocha, extra white - ironic for my dark soul.",order
1836,"Green Mint, extra green - like my envy of functional adults.",order
1837,"Matcha Latte, extra extra - because basic isn't enough.",order
1838,"Americano, iced - cool my burning rage at this syllabus.",order
1839,"Cappuccino, extra dry - like my humor after 3 all-nighters.",order
1840,"Latte, extra vanilla - sweeten this bitter pill called academia.",order
1841,"Mocha, extra whipped cream - bury my sorrows in sugar.",order
1842,"White Mocha, extra caramel - sticky fingers, no shame.",order
1843,"Black Tea, extra bergamot - fancy like my avoidance techniques.",order
1844,"Chai Tea, extra ginger - for my broken spirit.",order
1845,"Green Mint, extra fresh - cleanse my palate of instant coffee.",order
1846,"Hot Chocolate, extra chocolate - because I'm an adult (theoretically).",order
1847,"Matcha Latte, extra photogenic - content creation is hard.",order
1848,"Americano, quad shot - I have bad decisions to make.",order
1849,"Cappuccino, extra foam art - surprise me, I dare you.",order
1850,"Latte, extra hazelnut - nutty like my sleep schedule.",order
1851,"White Mocha, extra sweet - like my fake enthusiasm for 8ams.",order
1852,"Black Tea, extra lemon - sour like my outlook on group projects.",order
1853,"Chai Tea, extra spicy - like my temper during finals.",order
1854,"Green Mint, extra green - match my envy of morning people.",order
1855,"Americano, long black - like my rap sheet.",order
1856,"Cappuccino, extra cinnamon - spice up this dull lecture.",order
1857,"Mocha, extra chocolate - because I deserve it (questionable).",order
1858,"Green Mint, extra fresh - mask my instant noodle breath.",order
1859,Don't make that Latte; cancel it.,cancel_order
1860,I'm canceling my Black Tea order.,cancel_order
1861,I demand you cancel the Hot Chocolate I just ordered.,cancel_order
1862,Is it too late to cancel everything I ordered?,cancel_order
1863,Cancel the last item you added to my order.,cancel_order
1864,Can you cancel my entire purchase?,cancel_order
1865,My order for an Americano is canceled.,cancel_order
1866,Cancel the Cappuccino I spoke for.,cancel_order
1867,Cancel that Latte before it's made.,cancel_order
1868,Is it possible to cancel the Black Tea I just ordered?,cancel_order
1869,I need to cancel the Chai tea now.,cancel_order
1870,Please cancel my Green Mint order.,cancel_order
1871,Can you cancel the very last drink I ordered?,cancel_order
1872,Cancel the Americano I ordered a minute ago.,cancel_order
1873,Cancel the Latte that was just placed.,cancel_order
1874,Is there a way to cancel the Mocha I asked for?,cancel_order
1875,Cancel the White Mocha from my order list.,cancel_order
1876,I must cancel the Black Tea I requested.,cancel_order
1877,Cancel that Chai tea that's in progress.,cancel_order
1878,Can you remove the Americano from my bill?,cancel_order
1879,Cancel the Black Tea; I've decided against it.,cancel_order
1880,Cancel the Chai tea; I'm in a hurry.,cancel_order
1881,I need to cancel the Green Mint; something came up.,cancel_order
1882, is 7am open, open_time
1883, any promotion, promotion
